x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127,x_128,x_129,x_130,x_131,x_132,x_133,x_134,x_135,x_136,x_137,x_138,x_139,x_140,x_141,x_142,x_143,x_144,x_145,x_146,x_147,x_148,x_149,x_150,x_151,x_152,x_153,x_154,x_155,x_156,x_157,x_158,x_159,x_160,x_161,x_162,x_163,x_164,x_165,x_166,x_167,x_168,x_169,x_170,x_171,x_172,x_173,x_174,x_175,x_176,x_177,x_178,x_179,x_180,x_181,x_182,x_183,x_184,x_185,x_186,x_187,x_188,x_189,x_190,x_191,x_192,x_193,x_194,x_195,x_196,x_197,x_198,x_199,x_200,x_201,x_202,x_203,x_204,x_205,x_206,x_207,x_208,x_209,x_210,x_211,x_212,x_213,x_214,x_215,x_216,x_217,x_218,x_219,x_220,x_221,x_222,x_223,x_224,x_225,x_226,x_227,x_228,x_229,x_230,x_231,x_232,x_233,x_234,x_235,x_236,x_237,x_238,x_239,x_240,x_241,x_242,x_243,x_244,x_245,x_246,x_247,x_248,x_249,x_250,x_251,x_252,x_253,x_254,x_255,bias
-0.08586978,-0.2997171,-0.11453646,-0.0966675,0.11788258,-0.5275591,-0.08186475,0.31131348,-0.23090623,0.30872017,0.08542805,-0.033179693,0.24226035,0.06633633,-0.06616174,0.34044096,0.14839503,0.07699253,0.12266056,-0.53944653,0.043185506,-0.0015776427,-0.01604755,0.19062702,-0.2025262,0.21764573,-0.12936276,-0.24676333,0.27068973,0.035326634,-0.16082017,-0.2582838,-0.014382359,0.041900873,0.34320953,-0.24381004,-0.09807359,-0.21773785,0.24304341,-0.116639934,0.060631968,0.032547995,0.107380025,0.04553598,-0.21848275,-0.006882124,0.2462805,-0.025230305,-0.07074695,-0.46828863,0.22370793,0.06493558,-0.21406652,0.05879577,-0.09172012,0.21126245,0.32784772,0.059215643,-0.176085,-0.060194872,0.042305045,-0.044904318,0.29796728,0.03811988,0.07260022,-0.27359223,-0.14553858,0.19639164,-0.007705307,0.23888053,0.035114042,0.04268121,0.11302787,-0.15776406,0.07112948,0.072439276,-0.088578455,0.12139762,0.21272384,0.06716771,-0.10193197,0.017313477,-0.36308244,0.00691893,0.5933852,-0.08873521,0.09164032,-0.004387929,0.30526337,-0.16903886,-0.036022287,-0.16928364,-0.5991452,-0.55662346,0.08806509,-0.037959322,0.22611517,-0.12959866,-0.026629105,-0.2519952,-0.61793196,-0.1280583,0.097262725,-0.084054545,-0.05154711,0.17744425,-0.38651484,0.13722742,-0.15885521,0.18300067,0.26138923,-0.030244645,0.17999566,-0.22673978,0.003962372,0.117725916,0.20253894,-0.36049077,-0.16578247,-0.14901316,-0.11765104,-0.01669872,0.12872322,0.08011561,-0.35956913,0.13930304,0.038186535,-0.0042281756,0.20067956,-0.07214406,0.22928897,0.065131575,0.073403746,-0.42149672,0.19639887,-0.30214426,-0.18727376,0.848466,0.2986826,0.17585824,-0.2866735,0.08045547,0.027809663,0.42360404,-0.028740413,0.3218705,-0.07112361,-0.23013675,0.04611031,-0.19689511,-0.23595582,0.106761634,-0.10704262,-0.0074683265,-0.18919148,-0.17623323,0.18909681,0.1628253,-0.041468546,0.02369511,-0.24229102,0.10560582,-0.022723336,0.1648697,-0.08193181,-0.18528599,0.04159975,-0.16446762,0.17219417,-0.17958038,-0.035475545,0.3530791,0.41960412,-0.07774419,0.7119869,0.12830463,-0.024663972,-0.20758949,-0.15011838,0.19104141,-0.21081886,0.36080876,-0.29841876,0.45861742,0.15659566,0.053679507,0.12037222,0.0965545,-0.1803598,-0.038360734,0.4348398,0.1363404,0.20234028,0.76315194,-0.11363228,0.17230518,0.24586958,-0.12537692,0.014490355,-0.11970779,-0.3554982,-0.3166432,-0.31221747,0.08333581,-0.19616577,0.11293534,-0.42769566,0.004514953,-0.18895417,-0.34254834,0.78672266,0.077595435,0.534128,-0.115020536,-0.100596696,-0.56439227,-0.30841747,-0.04728323,-0.2962126,-0.20941757,0.032971483,-0.42205006,0.028056907,-0.1058427,-0.015733184,0.09079122,0.025658986,-0.24835478,-0.10653442,0.31000975,-0.17856705,0.04901324,0.10010021,0.14820875,-0.39877024,-0.02507793,-0.38805026,0.5380678,0.1499097,-0.4415988,0.031900592,0.20232934,-0.1440673,-0.016791604,0.21820389,-0.010283662,-0.14769216,-0.19771421,0.1418664,-0.052563615,0.19833402,0.22277236,-0.15732689,-0.035666373,-0.20486741,0.12874743,-0.06870186
-0.0621944,-0.26331478,-0.15348779,0.056430317,0.22047533,-0.08486633,-0.13990049,0.18239567,-0.2842144,0.16289991,-0.06015621,0.22172058,0.07499495,-0.04499294,-0.15984417,0.0939314,-0.019813612,0.10774851,-0.06932565,-0.12470694,0.009184854,-0.15896043,-0.13977687,0.14838666,-0.0365239,0.29651383,-0.10221633,-0.11327181,0.44324258,0.14700177,0.10898741,0.06734296,-0.12654945,-0.1432114,0.10901207,-0.13862723,-0.0006792778,-0.34933984,0.21857467,0.035637334,0.008656397,-0.16631253,-0.11642274,0.1662436,-0.11186135,-0.09650555,0.008391025,-0.09705841,0.014243575,-0.17248555,0.15904914,0.03570988,-0.06209612,0.18679251,0.10642616,-0.03187275,0.12757948,0.10584671,-0.21553692,-0.22496392,0.15200628,-0.06531466,0.47757962,-0.0041114385,0.032534134,-0.09179896,0.038236976,0.08484282,-0.020673012,0.05483495,0.119947135,-0.03373344,0.21343464,-0.07825119,-0.013864346,0.0100551555,-0.22792442,0.06000133,0.07835626,0.18692319,-0.10205551,0.017293112,-0.08596652,-0.040413663,0.21569343,0.10449003,-0.049714014,0.1949142,0.23853111,-0.14780085,-0.050839722,-0.051423904,-0.2629597,-0.26805183,0.05477339,-0.10922743,0.10038808,-0.19000882,0.13694501,-0.08227613,-0.5927071,0.11429893,-0.018258383,-0.18355691,0.14782684,0.20246784,-0.085187644,0.033503313,0.009743494,0.15117487,0.18703628,-0.083205335,-0.13181335,-0.091076314,-0.09217975,0.25628635,0.24030742,-0.23016705,0.07725699,0.1562127,-0.06361096,-0.10948038,-0.028307468,0.21818653,-0.24539065,-0.020585641,0.13640362,0.21856688,0.269733,0.70261586,0.24247356,0.334191,-0.35110766,0.55201054,0.44380862,-0.4087074,0.36831015,-0.67592216,0.38439223,-0.11207584,-0.35160524,-0.047708586,0.21195377,-0.6467959,0.097543105,-0.27850607,-0.31209958,0.4938519,0.2338064,0.14538997,-0.17102237,-0.19993474,0.26374283,-0.44261134,0.5714452,0.23614709,-0.68931645,-0.24014811,0.06583667,0.43763968,0.082818605,0.16200627,-0.5711408,0.3250161,0.1309988,0.40470898,0.11797969,-0.28781915,-0.36093634,-0.10930299,0.680683,-0.48315117,-0.0861795,-0.14420868,-0.27705753,-0.5068614,0.0887285,0.48424125,0.13675249,-0.6812609,-0.32834628,-0.32132885,-0.4203223,-0.12269894,-0.015632257,-0.016852079,0.5611033,0.6356887,-0.19698276,0.39611816,-0.6130715,-0.26275218,0.097893275,0.07516203,-0.19685693,-0.31484663,0.038227428,-0.19484979,-0.24625854,0.35025316,-0.5370258,0.60309637,-0.336816,-0.050193183,0.49246117,-0.55032766,-0.2604319,-0.4866152,0.36343673,-0.041628253,0.40792635,0.7166579,-0.82997024,-0.36284938,0.26205057,-0.21159077,-0.42942172,0.5752398,-0.15370339,0.6072312,0.6460423,0.65923536,-0.46303222,0.6381611,-0.58284855,0.36462197,0.12879714,0.018007217,0.6971524,-0.33447558,-0.5794484,0.3216103,-0.23445266,-0.4552323,0.75664467,-0.5588738,0.25717407,-0.42787683,-0.2244819,-0.23864442,-0.27736267,0.5123586,0.5474223,-0.3344949,-0.6469192,0.7393638,-0.044050146,0.5415286,-0.24354303,0.33365816,-0.13658233,-0.23098569,0.66118675,0.2312183,-0.48196152,-0.12184576,-0.058119245
0.056018308,0.23968105,-0.18888716,-0.07666118,-0.00359611,0.3855906,0.046204586,-0.06730493,0.2904214,0.045500927,0.1277329,-0.2787706,-0.016957244,-0.3072301,-0.10196777,-0.28799662,-0.20746173,-0.10266454,-0.06660141,0.4591648,0.0895643,0.2124567,0.13869274,-0.0142359445,0.28570205,-0.056318413,0.17071864,0.01723191,-0.3495299,-0.095360674,0.070495926,0.2587316,0.14862742,-0.054941263,-0.26159585,0.23328649,-0.09286608,0.11660464,-0.165008,-0.0150015745,-0.17563373,0.010730523,0.068570174,-0.17326812,0.24654602,0.0016289316,-0.047178593,0.039112728,0.0047155996,0.27463886,-0.17962271,-0.04680763,0.10776785,-0.13930467,-0.18056826,-0.0668289,-0.10969045,-0.19504203,0.24348646,0.17455071,-0.25322816,0.1465363,-0.4096928,-0.056229558,-0.13326892,0.098288424,-0.083599836,-0.013145276,-0.13007845,-0.20489548,-0.1319636,-0.0022722664,-0.23201379,0.31582138,-0.20184962,0.10663429,0.19752206,-0.3086607,-0.23079875,-0.17958863,0.07732128,-0.14264776,0.34238955,-0.049118068,-0.58246154,0.0040673874,0.10316896,-0.20032005,-0.0047533857,0.1104949,0.072122194,0.12851992,0.26503327,0.45279923,-0.2374275,-0.011350037,-0.16188145,0.14989951,-0.12894824,0.09624345,0.5591185,-0.025711639,-0.12182811,0.011777009,0.081844226,-0.1708452,0.21071273,0.0055804974,0.08473266,-0.07506639,-0.22249676,-0.09262827,0.16194797,0.09838323,0.15509255,-0.17308614,-0.20164105,0.26679432,-0.035681188,0.13345963,0.0440241,0.18293767,0.11569899,-0.072207734,0.28656888,-0.10581348,0.01632062,-0.14432533,-0.23705496,-0.6634632,-0.053996474,-0.3127498,0.21262415,-0.5919655,-0.45986602,0.66829556,-0.38357675,0.1124283,-0.35785368,0.15151393,0.390673,-0.25275677,-0.14525774,0.3263587,-0.19122832,0.042564563,0.6290463,-0.74548787,-0.25146315,-0.18015876,0.21112493,0.30427974,0.0068583693,0.50642395,-0.13211745,-0.069914706,0.64941233,0.09697752,0.01647152,-0.2696534,0.15827535,-0.2695835,0.32082507,-0.50240064,0.064942405,-0.21616775,-0.1735847,0.23559807,0.060429227,0.33970472,-0.24720031,0.0997377,-0.1774128,-0.017108109,0.05492991,0.27780285,0.14007682,-0.35277233,0.023907837,0.476447,0.41802967,0.16542943,0.5061165,-0.009984945,-0.18806897,0.036596652,-0.6368496,-0.29404223,0.3971646,-0.12003785,0.51441246,0.06255134,-0.37097454,-0.5617176,0.19464198,0.100313775,-0.045435645,0.20156704,0.10705057,-0.097697705,0.4594447,-0.43408066,0.45084402,0.12729797,-0.18680237,0.2826743,0.24998926,0.2878791,-0.11092214,0.13251248,-0.5459995,-0.49263492,0.57674885,0.15559502,0.03503452,0.54524064,0.49072272,-0.22926793,-0.022515038,-0.43585804,-0.54595166,-0.5451348,0.20324264,-0.46562484,0.49177927,-0.23165059,-0.122652814,0.12653673,-0.64474523,0.1204332,0.40811372,-0.24521817,-0.2899971,0.27819413,-0.62076,0.0054246676,-0.20864837,0.090233795,0.20184125,0.37247118,0.27542302,-0.45589268,-0.19310735,0.18306021,0.42987776,-0.6728105,0.26447895,-0.33953384,0.48234832,-0.24773954,-0.08613063,0.034533724,-0.45022738,0.014439563,0.10761635,0.20144956,0.0751758
